###############2021.07.26 - 20.02.18###############
step size(xStep:10,yStep:10) xlim:(-10,264), ylim:(0,213)
160	20	-0.05
160	10	-0.06
160	0	-0.07
170	0	-0.07
170	10	-0.06
170	20	-0.06
170	30	-0.05
170	40	-0.05
170	50	-0.04
170	60	-0.04
170	70	-0.04
170	80	-0.04
170	90	-0.04
170	100	-0.04
170	110	-0.04
170	120	-0.04
170	130	-0.05
170	140	-0.05
170	150	-0.05
170	160	-0.07
170	170	-0.07
170	180	-0.08
170	190	-0.09
170	200	-0.11
170	210	-0.12
180	210	-0.13
180	200	-0.11
180	190	-0.10
180	180	-0.09
180	170	-0.08
180	160	-0.08
180	150	-0.07
180	140	-0.06
180	130	-0.06
180	120	-0.05
180	110	-0.05
180	100	-0.05
180	90	-0.05
180	80	-0.05
180	70	-0.05
180	60	-0.05
180	50	-0.05
180	40	-0.06
180	30	-0.06
180	20	-0.06
180	10	0.14
180	0	-0.06
190	0	-0.08
190	10	-0.08
190	20	-0.07
190	30	-0.07
190	40	-0.07
190	50	-0.08
190	60	-0.07
190	70	-0.07
190	80	-0.07
190	90	-0.07
190	100	-0.07
190	110	-0.07
190	120	-0.07
190	130	-0.07
190	140	-0.09
190	150	-0.09
190	160	-0.09
190	170	-0.09
190	180	-0.10
190	190	-0.11
190	200	-0.11
190	210	-0.14
200	210	-0.14
200	200	-0.12
200	190	-0.11
200	180	-0.10
200	170	-0.10
200	160	0.18
200	150	-0.09
200	140	-0.08
200	130	-0.07
200	120	-0.08
200	110	-0.07
200	100	-0.07
200	90	-0.07
200	80	-0.08
200	70	-0.08
200	60	-0.07
200	50	-0.07
200	40	-0.07
200	30	-0.07
200	20	-0.07
200	10	-0.07
200	0	-0.07
210	0	-0.06
210	10	-0.07
210	20	-0.07
210	30	-0.07
210	40	-0.07
210	50	-0.08
210	60	-0.08
210	70	-0.08
210	80	-0.08
210	90	-0.09
210	100	-0.07
210	110	-0.09
210	120	-0.08
210	130	-0.08
210	140	-0.08
210	150	-0.09
210	160	-0.09
210	170	-0.10
210	180	-0.10
210	190	-0.11
210	200	-0.11
210	210	-0.13
220	210	-0.16
220	200	-0.16
220	190	-0.16
220	180	-0.13
220	170	-0.14
220	160	-0.14
220	150	-0.13
220	140	-0.12
220	130	-0.12
220	120	-0.12
220	110	-0.12
220	100	-0.12
220	90	-0.12
220	80	-0.12
220	70	-0.12
220	60	-0.12
220	50	-0.11
220	40	-0.11
220	30	-0.11
220	20	-0.11
220	10	-0.10
220	0	-0.10
230	0	-0.09
230	10	-0.09
230	20	-0.10
230	30	-0.10
230	40	-0.11
230	50	-0.12
230	60	-0.12
230	70	-0.12
230	80	-0.12
230	90	-0.12
230	100	0.96
230	110	-0.12
230	120	-0.12
230	130	-0.13
230	140	-0.12
230	150	-0.12
230	160	-0.12
230	170	-0.13
230	180	-0.13
230	190	-0.13
230	200	-0.15
230	210	-0.15
240	210	-0.16
240	200	-0.15
240	190	-0.14
240	180	-0.14
240	170	-0.14
240	160	-0.14
240	150	-0.13
240	140	-0.13
240	130	-0.13
240	120	-0.13
240	110	-0.13
240	100	-0.13
240	90	-0.13
240	80	-0.14
240	70	-0.14
240	60	-0.14
240	50	-0.13
240	40	-0.12
240	30	-0.12
240	20	-0.11
240	10	-0.10
240	0	-0.09
250	0	-0.09
250	10	-0.11
250	20	-0.11
250	30	-0.12
250	40	-0.15
250	50	-0.15
250	60	-0.16
250	70	-0.15
250	80	-0.16
250	90	-0.16
250	100	-0.16
250	110	-0.16
250	120	-0.16
250	130	-0.16
250	140	-0.16
250	150	-0.16
250	160	-0.16
250	170	-0.15
250	180	-0.15
250	190	-0.16
250	200	-0.16
250	210	-0.17
260	210	-0.18
260	200	-0.19
260	190	-0.18
260	180	-0.19
260	170	-0.17
260	160	-0.18
260	150	-0.18
260	140	-0.18
260	130	-0.18
260	120	-0.18
260	110	-0.18
260	100	-0.19
260	90	-0.19
260	80	-0.19
260	70	-0.18
260	60	-0.18
260	50	0.68
260	40	-0.17
260	30	-0.15
260	20	-0.14
260	10	-0.12
260	0	-0.11
